    93/299      2.3G   0.02879    0.0212         0   0.04999        13       640    0.8612    0.8932    0.9423    0.6711   0.03996   0.05933         0
    94/299      2.3G   0.02855   0.02185         0    0.0504        32       640    0.8732    0.8946    0.9419    0.6776   0.04012   0.05951         0
    95/299      2.3G    0.0288   0.02187         0   0.05067        16       640    0.8781     0.866    0.9356    0.6776   0.03945   0.05856         0
    96/299      2.3G   0.02858   0.02066         0   0.04924        18       640    0.8763    0.8458    0.9272    0.6702   0.04018    0.0581         0
    97/299      2.3G    0.0281   0.02062         0   0.04872        17       640    0.8747    0.8469    0.9345    0.6754   0.03911   0.06156         0
    98/299      2.3G   0.02883   0.02125         0   0.05009        34       640    0.8962    0.8612    0.9424    0.6746    0.0396    0.0582         0
    99/299      2.3G   0.02878   0.02162         0   0.05041        15       640    0.8966    0.8571     0.945    0.6819   0.04021   0.05902         0
   100/299      2.3G   0.02865   0.02146         0   0.05011        18       640    0.8785    0.8772     0.945    0.6762    0.0393   0.05791         0
   101/299      2.3G   0.02855   0.02115         0    0.0497        19       640    0.8622    0.8821     0.945    0.6829   0.03963   0.06062         0
   102/299      2.3G   0.02867   0.02124         0   0.04992        30       640    0.8744    0.8603    0.9346    0.6761   0.03941   0.05935         0
   103/299      2.3G   0.02801   0.02132         0   0.04932        25       640    0.8864    0.8844    0.9506     0.683   0.04032   0.05926         0
   104/299      2.3G   0.02838    0.0204         0   0.04878        20       640     0.862    0.8855    0.9425    0.6821   0.03923   0.06033         0
   105/299      2.3G   0.02826    0.0219         0   0.05017        26       640    0.8708    0.8866    0.9419    0.6751   0.03841   0.05868         0
   106/299      2.3G   0.02885   0.02084         0   0.04969        20       640    0.8753    0.8753    0.9462     0.681   0.03931   0.05822         0
   107/299      2.3G   0.02834   0.02159         0   0.04993        29       640     0.857     0.924    0.9556    0.6897   0.03931   0.05817         0
   108/299      2.3G   0.02793   0.02147         0   0.04939        15       640    0.8859    0.8626    0.9464    0.6742   0.03984   0.05847         0
   109/299      2.3G   0.02861   0.02069         0   0.04929        23       640     0.889    0.8991    0.9533    0.6914   0.03926   0.05832         0
   110/299      2.3G   0.02815   0.02014         0   0.04829        24       640    0.9002      0.89    0.9542    0.6872   0.03913   0.05922         0
